label,text

ham,Reunião amanhã às 10h não te esqueças
ham,Chego daqui a 5 minutos
ham,O relatório está pronto para revisão
ham,Liga-me quando puderes
ham,O jantar é às 20h em minha casa
ham,Já fiz a transferência do jantar
ham,Podes enviar o documento por email
ham,Estás a caminho?
ham,Amanhã temos formação às 9h
ham,Confirmo presença na reunião
ham,O pagamento da renda já foi feito
ham,Envia-me a morada por mensagem
ham,O médico mudou a consulta para sexta
ham,O autocarro está atrasado 10 minutos
ham,Obrigado pela ajuda ontem
ham,Podemos falar agora?
ham,A reunião foi adiada para terça
ham,Recebi o teu email
ham,Passo aí mais tarde
ham,O ficheiro está no Teams
ham,O código da porta é 4582
ham,Já cheguei ao escritório
ham,Envio o relatório até ao final do dia
ham,A encomenda chegou hoje
ham,Vamos almoçar às 13h?

spam,Aproveite já a nossa promoção exclusiva
spam,Desconto especial válido apenas hoje
spam,Ganhe prémios incríveis ao participar
spam,Oferta limitada para clientes selecionados
spam,Campanha especial disponível agora
spam,Receba 50% de desconto na próxima compra
spam,Participe gratuitamente no sorteio mensal
spam,Promoção imperdível termine hoje
spam,Oferta exclusiva para si
spam,Desconto imediato na sua subscrição
spam,Subscreva agora e ganhe benefícios
spam,Promoção relâmpago válida 24 horas
spam,Receba cupão digital gratuito
spam,Aproveite vantagens exclusivas online
spam,Oferta especial para membros registados
spam,Ganhe pontos extra esta semana
spam,Participe já e receba prémios
spam,Desconto disponível na sua área de cliente
spam,Campanha ativa por tempo limitado
spam,Oferta personalizada para si
spam,Receba acesso antecipado às promoções
spam,Subscreva o serviço premium hoje
spam,Promoção especial para novos utilizadores
spam,Aproveite o saldo de boas-vindas
spam,Oferta exclusiva termina hoje

phishing,A sua conta bancária será encerrada hoje se não confirmar os dados
phishing,Confirme imediatamente as suas credenciais para evitar bloqueio permanente
phishing,Detetámos uma transferência suspeita valide agora para evitar perda de fundos
phishing,O seu acesso foi suspenso por atividade suspeita regularize já
phishing,Pagamento recusado atualize os seus dados bancários urgentemente
phishing,IBAN bloqueado por motivos de segurança valide neste link
phishing,Confirmação obrigatória da conta clique para evitar encerramento
phishing,Último aviso a sua conta será desativada hoje
phishing,Atualização obrigatória dos dados pessoais necessária para manter acesso
phishing,Serviço suspenso confirme já os seus dados
phishing,A sua conta foi temporariamente bloqueada por segurança
phishing,Regularize imediatamente a situação para evitar penalizações
phishing,Validação urgente necessária para continuar a utilizar o serviço
phishing,Confirmar dados bancários agora para evitar bloqueio
phishing,Transação não autorizada detectada valide imediatamente
phishing,A sua conta será cancelada se não confirmar os dados hoje
phishing,Acesso bloqueado por falha de verificação confirme identidade
phishing,Última tentativa de validação antes do encerramento definitivo
phishing,Atualize as suas credenciais para evitar restrições
phishing,Conta em risco de encerramento confirme os dados urgentemente
phishing,Erro grave de segurança confirme o seu NIF e palavra-passe
phishing,Movimento bancário suspeito valide a operação
phishing,Conta bloqueada por tentativa de acesso indevido
phishing,Valide imediatamente os seus dados para evitar suspensão
phishing,A sua sessão foi comprometida confirme identidade agora

